,maiorAtraso,margemBrutaAcumulada,prazoMedioRecebimentoVendas,titulosEmAberto,diferencaPercentualRisco,percentualRisco,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,capitalSocial,scorePontualidade,Risco_Baixo,Risco_Medio,Risco_Muito Baixo,cluster
7603,69,0.5117554369,51,365200.78,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7604,69,0.5117554369,51,365200.78,0.8035714285714285,0.1964285714285714,15842218,10139079,9,5703139,1994,250000,0,1,0,0,0
7605,5,0.3850594582,246,7375.77,0.75,0.25,707752,0,12,0,2008,50000,0,1,0,0,0
7606,3,0.4534146011,53,840.0,0.75,0.25,1859865,0,12,0,2015,50000,1,1,0,0,0
7607,149,0.24590085109999998,222,94801.68,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7608,3,0.5131852619,0,0.0,0.8571428571428571,0.1428571428571428,2714225,0,12,0,1998,20000,1,1,0,0,0
7609,0,0.34946237490000004,0,0.0,0.8392857142857142,0.1607142857142857,2172826,931746,12,1241080,2004,100000,1,1,0,0,0
7610,149,0.24590085109999998,222,94801.68,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7611,14,0.5746576945,36,168871.5,0.8571428571428571,0.1428571428571428,9785943,5219864,12,4566079,2008,265000,1,1,0,0,0
7612,0,0.0,0,0.0,0.8035714285714285,0.1964285714285714,18679954,5875072,12,12804882,1973,939687,0,1,0,0,0
7613,2,0.39620712840000005,4,19800.0,0.6607142857142857,0.3392857142857142,1172666,912137,12,260529,2003,600000,1,0,1,0,3
7614,3,0.0,0,0.0,0.75,0.25,214578169,114719403,12,99858766,2016,28000,0,1,0,0,0
7615,2,0.39620712840000005,4,19800.0,0.6607142857142857,0.3392857142857142,1172666,912137,12,260529,2003,600000,1,0,1,0,3
7616,12,0.0,0,0.0,0.75,0.25,546406,0,6,0,2013,1000,0,1,0,0,0
7617,18,0.536226416,0,0.0,0.5892857142857142,0.4107142857142857,647239,0,12,0,2008,5000000,1,0,1,0,3
7618,18,0.627505787,24,34920.0,0.6071428571428571,0.3928571428571428,3400923,0,12,0,2018,95400,1,0,1,0,3
7619,19,0.6274810679999999,0,102962.08,0.75,0.25,1588735,595776,12,992959,2018,200000,1,1,0,0,0
7620,29,0.6599290191,0,0.0,0.4821428571428571,0.5178571428571428,1359349,0,12,0,2006,110000,1,0,0,0,3
7621,0,0.0,0,0.0,0.5357142857142857,0.4642857142857142,491411,0,12,0,2017,10000,0,0,1,0,3
7622,4,0.0,0,0.0,0.8035714285714285,0.1964285714285714,3577882,0,12,0,1998,10000,0,1,0,0,0
7623,3,0.4477745004,0,0.0,0.6607142857142857,0.3392857142857142,1110843,227293,12,883550,2017,84500,1,0,1,0,3
7624,32,0.37875032159999994,38,537860.61,0.6964285714285714,0.3035714285714285,43077966,13418412,6,29659554,2010,500000,0,1,0,0,0
7625,116,0.46152796549999997,9,3197.37,0.9107142857142856,0.0892857142857142,2749829,751663,12,1998166,2008,10000,0,0,0,1,1
7626,3,0.5633860075,1,1071.42,0.9107142857142856,0.0892857142857142,189476158,44849875,12,144626283,1990,450000,1,0,0,1,1
7627,18,0.536226416,0,0.0,0.6964285714285714,0.3035714285714285,498223,-168763,12,666986,2008,5000000,1,1,0,0,0
7628,68,0.4859188493,44,154383.77,0.7678571428571428,0.2321428571428571,46731685,13511954,6,33219731,1990,1000000,1,1,0,0,0
